City,data_available_or_not
Goa,TRUE
Agra,TRUE
Manali,TRUE
Jaipur,TRUE
Delhi,TRUE
Andaman-Nicobar-Islands,TRUE
Udaipur,TRUE
Varanasi,TRUE
Ladakh,TRUE
Mumbai,TRUE
Jaisalmer,TRUE
Rishikesh,TRUE
Alleppey,TRUE
Varkala,TRUE
Bangalore,TRUE
Jodhpur,TRUE
Coorg,TRUE
Shimla,TRUE
Munnar,TRUE
Gangtok,TRUE
Srinagar,TRUE
Darjeeling,TRUE
Kolkata,TRUE
Amritsar,TRUE
Nainital,TRUE
Ooty,TRUE
Hyderabad,TRUE
Mussoorie,TRUE
Pondicherry,TRUE
Khajuraho,TRUE
Chennai,TRUE
Vaishno-Devi,TRUE
Dalhousie,TRUE
Ajanta-and-Ellora-Caves,TRUE
Haridwar,TRUE
Kanyakumari,TRUE
Mcleodganj,TRUE
Pune,TRUE
Kodaikanal,TRUE
Kochi,TRUE
Ahmedabad,TRUE
Kanha National Park,FALSE
Mysore,TRUE
Chandigarh,TRUE
Visakhapatnam,TRUE
Lonavala,TRUE
Wayanad,TRUE
Mount Abu,TRUE
Hampi,TRUE
Gulmarg,TRUE
Almora,TRUE
Shirdi,TRUE
Madurai,TRUE
Amarnath,TRUE
Bodh-Gaya,TRUE
Auli,TRUE
Ujjain,TRUE
Pachmarhi,TRUE
Mahabaleshwar,TRUE
Nasik,TRUE
Tirupati,TRUE
Gwalior,TRUE
Mathura,TRUE
Jog Falls,FALSE
Alibag,TRUE
rameswaram,TRUE
Vrindavan,TRUE
Coimbatore,TRUE
Lucknow,TRUE
Digha,TRUE
dharamsala,TRUE
Kovalam,TRUE
Kaziranga National Park,FALSE
Madikeri,TRUE
Matheran,TRUE
Ranthambore,TRUE
Jim Corbett National Park,FALSE
Kasol,TRUE
Agartala,TRUE
Khandala,TRUE
Kalimpong,TRUE
thanjevur,TRUE
Bhubaneswar,TRUE
Ajmer,TRUE
Aurangabad,TRUE
Jammu,TRUE
Dehradun,TRUE
Puri,TRUE
Cherrapunjee,TRUE
Bikaner,TRUE
Shimoga,TRUE
Hogenakkal,TRUE
Gir-National-Park,FALSE
Kasauli,TRUE
Pushkar,TRUE
Chittorgarh,TRUE
Nahan,TRUE
Lavasa,TRUE
Poovar,TRUE
Honnemaradu,TRUE
