,City
0,Khajjiar
1,Manali
2,Shimla
3,Kasol
4,Dalhousie
5,Dharamshala
6,Bir
7,Kashmir Valley
8,Ladakh
9,Gulmarg
10,Valley of Flowers
11,Roopkund Lake
12,Rishikesh
13,Auli
14,Nainital
15,Haridwar
16,Dehradun
17,Corbett National Park
18,Ghats in Varanasi
19,Agra
20,Mathura
21,Jodhpur
22,Desert of Jaisalmer
23,Udaipur
24,Ranthambore
25,Jaipur
26,Pushkar
27,Bikaner
28,Bharatpur
29,Mount Abu
30,Dudhsagar Falls
31,Grand Island
32,North Goa
33,South Goa
34,Mumbai
35,Pune
36,Lonavala
37,Kamshet
38,Mahabaleshwar
39,Kolad
40,Panchgani
41,Alibaug
42,Chikmagalur
43,Kabini
44,Bandipur
45,Coorg
46,Dandeli
47,Sakleshpur
48,Hampi
49,Gokarna
50,Mysore
