,City,Link
0,Mallikarjuna Swamy Temple,/andhra/srisailam/mallikarjuna-swamy-temple
1,Bramarambha Temple,/andhra/srisailam/bramarambha-temple
2,Srisailam Dam,/andhra/srisailam/srisailam-dam
3,Pathala Ganga,/andhra/srisailam/pathala-ganga
4,Sikharam,/andhra/srisailam/sikharam
5,Mallela Theertham,/andhra/srisailam/mallela-theertham
6,Akka Mahadevi Caves,/andhra/srisailam/akka-mahadevi-caves
7,Uma Maheshwaram,/andhra/srisailam/uma-maheshwaram
8,Nagarjuna Sagar - Srisailam Sanctuary,/andhra/srisailam/nagarjuna-sagar-srisailam-sanctuary
9,Bairluty Jungle Camp,/andhra/srisailam/bairluty-jungle-camp
10,Tribal Museum,/andhra/srisailam/tribal-museum
11,Sakshi Ganapathi Temple,/andhra/srisailam/sakshi-ganapathi-temple
12,Phaladhara Panchadhara,/andhra/srisailam/phaladhara-panchadhara
13,Hatekeswaram,/andhra/srisailam/hatekeswaram
14,Kailasadwaram,/andhra/srisailam/kailasadwaram
15,Kadalivanam Caves,/andhra/srisailam/kadalivanam-caves
16,Saleshwaram,/andhra/srisailam/saleshwaram
17,Gupta Mallikarjunam,/andhra/srisailam/gupta-mallikarjunam
18,Nagarjuna Sagar,/telangana/nagarjuna-sagar
